date_2,avg_temp,avg_rain,avg_wetb,avg_vappr,avg_rhum,avg_wdsp,avg_wddir,avg_dewpt,avg_msl,season,day,month,year,dd
2017-07-09,26.6,0.02,14.5,15.34,84.67,7.71,238.33,13.35,1013.4,Summer,9,7,2017,26.6
2017-07-10,24.55,0.0,13.2,14.0,83.62,9.75,257.5,11.96,1010.68,Summer,10,7,2017,24.55
2017-07-11,23.849999999999998,0.12,13.52,14.77,89.0,6.92,98.75,12.73,1006.59,Summer,11,7,2017,23.849999999999998
2017-07-12,25.0,-0.0,12.58,12.57,73.58,7.92,255.83,10.33,1018.25,Summer,12,7,2017,25.0
2017-07-13,28.05,0.0,14.0,14.4,79.21,8.62,245.0,12.32,1020.58,Summer,13,7,2017,28.05
2017-07-14,25.05,0.01,13.11,13.21,74.75,12.67,251.25,11.03,1022.68,Summer,14,7,2017,25.05
2017-07-15,27.0,-0.0,16.08,17.49,89.25,12.79,224.58,15.37,1020.08,Summer,15,7,2017,27.0
2017-07-16,27.3,-0.0,14.61,14.75,76.08,9.25,285.42,12.62,1024.38,Summer,16,7,2017,27.3
2017-07-17,24.0,-0.0,12.69,12.79,74.21,6.42,214.17,10.56,1024.48,Summer,17,7,2017,24.0
2017-07-18,27.25,-0.0,14.87,15.29,78.08,10.83,100.0,13.24,1012.32,Summer,18,7,2017,27.25
2017-07-19,23.9,0.55,14.73,15.95,86.67,12.0,202.92,13.7,1003.88,Summer,19,7,2017,23.9
2017-07-20,20.95,0.28,11.15,11.57,75.33,13.46,237.92,9.06,1006.62,Summer,20,7,2017,20.95
2017-07-21,20.65,0.29,11.05,11.95,81.5,15.08,241.67,9.56,997.2,Summer,21,7,2017,20.65
2017-07-22,22.15,0.0,12.35,13.02,81.12,8.92,209.17,10.86,1004.65,Summer,22,7,2017,22.15
2017-07-23,25.15,-0.0,13.61,13.77,76.08,10.42,326.67,11.68,1014.46,Summer,23,7,2017,25.15
2017-07-24,28.9,-0.0,14.69,14.64,74.29,12.17,324.17,12.62,1020.37,Summer,24,7,2017,28.9
2017-07-25,24.0,0.14,14.75,16.03,89.29,6.25,217.5,13.99,1015.55,Summer,25,7,2017,24.0
2017-07-26,24.950000000000003,0.2,13.74,13.9,76.04,17.0,252.08,11.6,1004.71,Summer,26,7,2017,24.950000000000003
2017-07-27,23.4,0.06,12.15,12.59,77.92,16.0,237.92,10.35,1003.81,Summer,27,7,2017,23.4
2017-07-28,24.75,0.13,13.24,14.15,84.71,12.17,240.0,12.05,1003.35,Summer,28,7,2017,24.75
2017-07-29,22.05,0.01,12.42,13.01,80.42,11.88,234.58,10.86,1005.27,Summer,29,7,2017,22.05
2017-07-30,22.549999999999997,0.1,12.26,13.09,82.96,13.33,236.67,10.92,1003.48,Summer,30,7,2017,22.549999999999997
2017-07-31,22.200000000000003,0.18,12.43,13.27,83.21,14.25,228.33,11.16,1007.65,Summer,31,7,2017,22.200000000000003
2017-08-01,22.2,0.01,12.7,13.62,84.79,10.79,207.92,11.53,1010.77,Summer,1,8,2017,22.2
2017-08-02,23.599999999999998,0.65,14.02,15.3,89.83,15.71,192.08,13.3,1001.25,Summer,2,8,2017,23.599999999999998
2017-08-03,25.1,0.01,13.87,14.66,83.75,16.67,241.25,12.66,1002.92,Summer,3,8,2017,25.1
2017-08-04,23.4,0.1,13.06,13.88,83.88,7.58,291.25,11.82,1012.62,Summer,4,8,2017,23.4
2017-08-05,23.450000000000003,0.0,11.51,11.58,72.75,9.75,282.08,9.13,1019.29,Summer,5,8,2017,23.450000000000003
2017-08-06,21.15,0.07,12.82,14.25,91.04,12.42,228.33,12.2,1019.08,Summer,6,8,2017,21.15
2017-08-07,20.0,0.11,11.9,12.9,84.75,7.17,263.33,10.72,1016.93,Summer,7,8,2017,20.0
2017-08-08,19.65,0.35,11.02,11.85,80.71,10.75,312.92,9.45,1016.21,Summer,8,8,2017,19.65
2017-08-09,24.799999999999997,-0.0,12.4,12.34,72.67,14.62,335.42,10.06,1024.02,Summer,9,8,2017,24.799999999999997
2017-08-10,23.200000000000003,-0.0,11.98,12.63,80.46,9.38,273.75,10.42,1027.07,Summer,10,8,2017,23.200000000000003
2017-08-11,26.700000000000003,0.02,14.62,15.76,87.42,12.88,238.75,13.72,1017.47,Summer,11,8,2017,26.700000000000003
